naslov,avtor,ocena,stevilo_ocen,want_to_read,prva_izdaja,stevilo_izdaj
At Bertram's Hotel,Agatha Christie,4.0,14,158,1965,108 
Death in the Clouds,Agatha Christie,4.357143,14,175,1935,103 
"Khladnokrovnoe ubiǐstvo: [roman, ėsse]",Truman Capote,4.0,85,"1,019",1709,113 
Les premiers hommes sur la lune: roman,H. G. Wells,3.2142856,14,172,1900,114 
A Caribbean Mystery,Agatha ChristieandChristie,4.111111,9,187,1964,105 
On the road,Jack Kerouac,3.5128205,78,583,1957,122 
Pride and Prejudice,Jane Austen,4.1552796,322,"5,019",1813,4036 
Adventures of Huckleberry Finn,Mark Twain,3.816425,207,930,1876,2552 
Alice's Adventures in Wonderland and Through the Looking Glass,Lewis Carroll,4.042105,95,630,1889,542 
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,4.4444447,18,369,1893,530 
Heart of darkness,Joseph Conrad,3.5213675,117,813,1899,452 
Peter Pan,J. M. Barrie,3.7179487,39,548,1911,429 
Flatland: a romance of many dimensions,Edwin Abbott Abbott,3.90625,96,551,1884,544 
"The  essays: or councils, civil and moral, of Sir Francis Bacon, ... With a table of the colours of good and evil. And a discourse of the wisdom of the ancients. To which is added in this edition the character of Queen Elizabeth.",Francis Bacon,3.6363637,11,151,1618,188 
The  mathematical principles of natural philosophy,Sir Isaac Newton,3.7857144,14,293,1687,104 
Winnie the Pooh: and Tigger too,A. A. Milne,4.172414,58,387,1925,186 
One Flew Over the Cuckoo's Nest,Ken Kesey,4.142857,28,374,1962,102 
The Sun Also Rises,Ernest Hemingway,3.68,25,377,1926,162 
The conquest of bread.,Peter Kropotkin,4.0,11,81,1892,106 
Charlie and the great glass elevator,Roald Dahl,3.46,50,331,1972,108 
L'amour aux temps du choléra: roman,Gabriel García Márquez,4.163636,55,657,1985,127 
Twilight,Stephenie Meyer,3.6057441,383,"4,464",2005,118 
Fantastic Mr Fox,Roald Dahl,3.9252336,107,"1,053",1970,140 
"The Red Badge of Courage, Fourth Edition (Norton Critical Edition)",Stephen Crane,3.6956522,23,128,1855,639 
The Awakening,Kate Chopin,3.6470587,34,423,1899,346 
Merry Adventures of Robin Hood,Howard Pyle,4.181818,11,173,1883,368 
King Solomon's mines,H. Rider Haggard,4.047619,21,140,1885,110 
